drug_id,active_ingredients,group_related,num_act_ingr
0_test,"PANTOPRAZOLE SODIQUE SESQUIHYDRATÉ,  PANTOPRAZOLE",Otras,2
0_train,DÉSOGESTREL,Hormonas y Moduladores Hormonales,1
1_test,"NYSTATINE,  SULFATE DE POLYMYXINE B,  SULFATE DE NÉOMYCINE",Antibióticos y Antimicrobianos,3
1_train,"MONTÉLUKAST ACIDE,  MONTÉLUKAST SODIQUE",Antihipertensivos y Cardiovasculares,2
10_test,MALÉATE D'ÉNALAPRIL,Antihipertensivos y Cardiovasculares,1
10_train,"ESTRADIOL,  ESTRADIOL HÉMIHYDRATÉ",Hormonas y Moduladores Hormonales,2
100_test,DESLORATADINE,Antihistamínicos y Descongestionantes,1
100_train,"DONÉPÉZIL BASE,  CHLORHYDRATE DE DONÉPÉZIL",Antivirales,2
1000_test,PARACÉTAMOL,Antiinflamatorios y Analgésicos,1
1000_train,KÉTOCONAZOLE,Antiinflamatorios y Analgésicos,1
1001_test,LOSARTAN POTASSIQUE,Antihipertensivos y Cardiovasculares,1
1001_train,CHLORHYDRATE DE DILTIAZEM,Antihipertensivos y Cardiovasculares,1
1002_test,"TÉNOFOVIR DISOPROXIL,  FUMARATE DE TÉNOFOVIR DISOPROXIL",Inmunosupresores y Moduladores del Sistema Inmune,2
1002_train,IBUPROFÈNE,Antihistamínicos y Descongestionantes,1
1003_test,"CHLORHYDRATE DE TRAMADOL,  PARACÉTAMOL",Antiinflamatorios y Analgésicos,2
1003_train,"ACÉBUTOLOL BASE,  CHLORHYDRATE D'ACÉBUTOLOL",Antihistamínicos y Descongestionantes,2
1004_test,"DL-LYSINE (ACÉTYLSALICYLATE DE),  ACIDE ACÉTYLSALICYLIQUE",Antiinflamatorios y Analgésicos,2
1004_train,RÉPAGLINIDE,Otras,1
1005_test,TRANDOLAPRIL,Otras,1
1005_train,HÉMIFUMARATE DE BISOPROLOL,Antihipertensivos y Cardiovasculares,1
1006_test,TARTRATE DE ZOLPIDEM,Antiinflamatorios y Analgésicos,1
1006_train,"CONCENTRAT DE CHOLÉCALCIFÉROL,  FORME PULVÉRULENTE,  PHOSPHATE TRICALCIQUE,  CALCIUM ÉLÉMENT,  CHOLÉCALCIFÉROL",Antihipertensivos y Cardiovasculares,5
1007_test,"DICLOFÉNAC DE DIÉTHYLAMINE,  DICLOFÉNAC SODIQUE",Antiinflamatorios y Analgésicos,2
1007_train,PRAVASTATINE SODIQUE,Antihipertensivos y Cardiovasculares,1
1008_test,"ÉSOMÉPRAZOLE MAGNÉSIQUE DIHYDRATÉ,  ÉSOMÉPRAZOLE",Antiinflamatorios y Analgésicos,2
1008_train,"ESCITALOPRAM,  OXALATE D'ESCITALOPRAM",Antiinflamatorios y Analgésicos,2
1009_test,LAMOTRIGINE,Antihistamínicos y Descongestionantes,1
1009_train,HYDROCHLOROTHIAZIDE,Antihipertensivos y Cardiovasculares,1
101_test,OLANZAPINE,Antidepresivos y Psicotrópicos,1
101_train,CHLORHYDRATE DE GLUCAGON,Inmunosupresores y Moduladores del Sistema Inmune,1
1010_test,LIOTHYRONINE SODIQUE,Otras,1
1010_train,PRAVASTATINE SODIQUE,Antihipertensivos y Cardiovasculares,1
1011_test,KÉTOPROFÈNE,Antiinflamatorios y Analgésicos,1
1011_train,ZOLMITRIPTAN,Antiinflamatorios y Analgésicos,1
1012_test,"GLUCOSE MONOHYDRATÉ,  GLUCOSE ANHYDRE",Antidiabéticos,2
1012_train,FÉNOFIBRATE,Antihipertensivos y Cardiovasculares,1
1013_test,"GALANTAMINE,  BROMHYDRATE DE GALANTAMINE",Antiinflamatorios y Analgésicos,2
1013_train,"BROMOCRIPTINE (MÉSILATE DE),  BROMOCRIPTINE BASE",Antidepresivos y Psicotrópicos,2
1014_test,"PRAMIPEXOLE (DICHLORHYDRATE DE) MONOHYDRATÉ,  PRAMIPEXOLE BASE",Antidepresivos y Psicotrópicos,2
1014_train,ZOLMITRIPTAN,Antiinflamatorios y Analgésicos,1
1015_test,VALSARTAN,Antihipertensivos y Cardiovasculares,1
1015_train,"MALÉATE DE TIMOLOL,  TIMOLOL,  LATANOPROST",Antihipertensivos y Cardiovasculares,3
