iter	RMSE
0	86.94649788
1	83.82482685
2	81.35030323
3	78.72798007
4	76.51719902
5	74.48347328
6	72.46123477
7	70.78811632
8	69.23423852
9	67.59070454
10	66.1673705
11	64.70954843
12	63.6212194
13	62.53169744
14	61.54753177
15	60.78583783
16	59.96178619
17	59.27946333
18	58.41203233
19	57.43485565
20	56.83219603
21	56.15928071
22	55.75987006
23	55.09613474
24	54.68135764
25	54.12443614
26	53.62979013
27	53.31561292
28	53.01640648
29	52.77822296
30	52.31873523
31	52.13818592
32	51.89760829
33	51.84789044
34	51.66177743
35	51.09523456
36	50.61327252
37	50.45685365
38	50.31998269
39	50.04728346
40	49.60039186
41	49.2367854
42	49.14422238
43	49.03445369
44	48.98061402
45	48.76969103
46	48.64840373
47	48.52825454
48	48.50712396
49	48.23022666
50	47.70983496
51	47.61882572
52	47.2694824
53	47.17071351
54	47.14012961
55	46.96616565
56	46.89372606
57	46.79361605
58	46.71172574
59	46.69331263
60	46.48056823
61	46.45385577
62	46.29319269
63	46.03143294
64	46.02139633
65	45.90100765
66	45.862719
67	45.70836665
68	45.66241769
69	45.59073681
70	45.58417446
71	45.57065925
72	45.39208154
73	45.27925238
74	45.17360911
75	45.091426
76	45.06735314
77	45.0576292
78	44.95821054
79	44.93868502
80	44.82548325
81	44.76953485
82	44.70876049
83	44.26098323
84	44.23677278
85	44.18426682
86	44.12581082
87	44.05465892
88	43.95953435
89	43.91068135
90	43.77866212
91	43.57911097
92	43.35688021
93	43.21260552
94	43.07407943
95	42.98729227
96	42.9328518
97	42.80219429
98	42.63074284
99	42.60385593
100	42.56974159
101	42.4318137
102	42.28482882
103	42.25028318
104	42.14127981
105	41.84195245
106	41.74521178
107	41.7128912
108	41.58429216
109	41.50983466
110	41.31255868
111	41.23463942
112	41.0675557
113	40.88161828
114	40.69359199
115	40.62374883
116	40.58490986
117	40.47309931
118	40.34200128
119	40.26582752
120	39.96271067
121	39.95511859
122	39.85218517
123	39.69298569
124	39.63326191
125	39.58926566
126	39.51368525
127	39.50647655
128	39.36315566
129	39.27351411
130	39.18832838
131	39.14316877
132	38.96265407
133	38.79834793
134	38.7387634
135	38.65038911
136	38.49311509
137	38.3829576
138	38.26447983
139	38.25679005
140	38.18199968
141	38.07454934
142	38.01579815
143	37.957673
144	37.85510822
145	37.69923295
146	37.60347515
147	37.4448662
148	37.3782919
149	37.2354137
150	37.08461001
151	36.99927526
152	36.88571563
153	36.70061713
154	36.64976961
155	36.64315785
156	36.41226895
157	36.36378894
158	36.30890425
159	36.16927826
160	36.08161787
161	36.01588653
162	36.00974835
163	35.92119116
164	35.89268369
165	35.83243727
166	35.66255626
167	35.58904961
168	35.52617747
169	35.52047676
170	35.48277315
171	35.47112449
172	35.3695574
173	35.33696078
174	35.26880269
175	35.20795563
176	35.16192409
177	35.09377122
178	35.01274194
179	34.96444787
180	34.96056308
181	34.8675029
182	34.6927535
183	34.66149603
184	34.6283737
185	34.61229206
186	34.58171398
187	34.43284613
188	34.3107806
189	34.30621193
190	34.21398313
191	34.21123715
192	34.15117887
193	34.14683376
194	34.14277142
195	34.13969201
196	34.11131481
197	34.09526348
198	34.02797563
199	33.95276352
