iter	Passed	Remaining
0	79	15850
1	172	17069
2	298	19591
3	401	19676
4	505	19714
5	600	19402
6	695	19189
7	819	19669
8	943	20027
9	1067	20283
10	1190	20454
11	1287	20175
12	1403	20192
13	1501	19948
14	1597	19705
15	1698	19532
16	1800	19382
17	1903	19244
18	2033	19374
19	2120	19087
20	2240	19098
21	2342	18949
22	2459	18926
23	2569	18845
24	2691	18839
25	2814	18836
26	2977	19079
27	3092	18998
28	3198	18859
29	3324	18841
30	3422	18660
31	3501	18384
32	3597	18204
33	3654	17841
34	3757	17714
35	3864	17605
36	3998	17615
37	4093	17449
38	4196	17322
39	4283	17135
40	4416	17125
41	4541	17086
42	4649	16975
43	4757	16868
44	4825	16622
45	4946	16561
46	5074	16518
47	5192	16443
48	5237	16141
49	5349	16049
50	5460	15952
51	5587	15902
52	5697	15803
53	5815	15722
54	5882	15508
55	5990	15404
56	6097	15298
57	6206	15194
58	6320	15105
59	6428	14999
60	6553	14934
61	6643	14786
62	6745	14668
63	6831	14516
64	6860	14249
65	6975	14162
66	7099	14092
67	7205	13988
68	7243	13751
69	7351	13653
70	7399	13444
71	7477	13293
72	7567	13165
73	7676	13070
74	7768	12948
75	7867	12836
76	7988	12761
77	8019	12542
78	8139	12466
79	8244	12367
80	8345	12261
81	8469	12187
82	8560	12067
83	8668	11971
84	8777	11876
85	8875	11765
86	8965	11644
87	9077	11553
88	9184	11454
89	9302	11369
90	9422	11285
91	9534	11192
92	9660	11115
93	9749	10994
94	9862	10900
95	9951	10780
96	10062	10685
97	10184	10600
98	10297	10505
99	10409	10409
100	10509	10301
101	10608	10192
102	10723	10099
103	10848	10013
104	10965	9921
105	11081	9826
106	11204	9738
107	11295	9622
108	11401	9518
109	11524	9429
110	11656	9346
111	11760	9240
112	11852	9125
113	11976	9035
114	12089	8935
115	12220	8849
116	12330	8747
117	12444	8647
118	12554	8545
119	12638	8425
120	12763	8333
121	12869	8227
122	12966	8117
123	13044	7994
124	13136	7882
125	13238	7775
126	13325	7659
127	13431	7555
128	13528	7446
129	13629	7338
130	13716	7224
131	13800	7109
132	13917	7011
133	14017	6904
134	14133	6804
135	14233	6698
136	14351	6599
137	14478	6505
138	14573	6395
139	14668	6286
140	14770	6180
141	14877	6076
142	14972	5968
143	15076	5862
144	15162	5751
145	15267	5646
146	15374	5543
147	15501	5446
148	15634	5351
149	15756	5252
150	15859	5146
151	15956	5038
152	16049	4930
153	16163	4827
154	16275	4725
155	16378	4619
156	16491	4516
157	16615	4416
158	16735	4315
159	16851	4212
160	16942	4104
161	17069	4003
162	17158	3894
163	17261	3789
164	17355	3681
165	17459	3576
166	17574	3472
167	17706	3372
168	17801	3265
169	17902	3159
170	18021	3056
171	18127	2951
172	18247	2847
173	18368	2744
174	18474	2639
175	18583	2534
176	18687	2428
177	18772	2320
178	18875	2214
179	18961	2106
180	19080	2002
181	19191	1898
182	19301	1793
183	19400	1686
184	19512	1582
185	19641	1478
186	19789	1375
187	19914	1271
188	20053	1167
189	20235	1065
190	20408	961
191	20535	855
192	20684	750
193	20790	643
194	20896	535
195	21006	428
196	21117	321
197	21217	214
198	21309	107
199	21436	0
